"time" "x" "y" "sx.a1" "sy.a1" "sx.a2" "sy.a2" "sx.b1" "sy.b1" "sx.b2" "sy.b2" "sx.c1" "sy.c1" "sx.c2" "sy.c2"
25.65 1.17571422545862 0.938939034467731 -11.75672587892 -4.26373978621623 -0.461145166440289 -2.51304251566378 9.50727179358688 3.46413598084101 0.567681282941227 3.13717220750667 10.2184324780036 3.73344801304026 0.4970008116096 2.68604797126291
25.7 1.17578501627355 0.938975630726877 -11.7624364298963 -4.26662264138775 -0.46141603270773 -2.51327594560761 9.51121496690463 3.46616427307364 0.568065853691864 3.13757528974048 10.2221435740313 3.73543702327678 0.497266404606383 2.68615870549205
25.75 1.17585543915645 0.939012040135784 -11.7681179448945 -4.2694909693006 -0.461685469239085 -2.5135081301812 9.51513697272935 3.46818172834755 0.568448506118292 3.13797623618277 10.2258324218681 3.73741424751293 0.497530443150128 2.6862686980042
25.8 1.1759254959793 0.939048263588734 -11.7737705650072 -4.27234483898243 -0.461953483231235 -2.51373907613972 9.51903792019168 3.47018840195968 0.568829249226516 3.13837505876718 10.229499148039 3.73937975140521 0.497792935802407 2.68637795429093
25.85 1.17599518860496 0.939084301976648 -11.77939443071 -4.27518431918054 -0.462220081848801 -2.51396879019748 9.5229179179054 3.47218434895287 0.569208091986881 3.13877176934804 10.2331438784081 3.74133360028558 0.498053891083245 2.68648647979241
25.9 1.17606451888719 0.939120156187084 -11.7849896818634 -4.27800947836247 -0.462485272224245 -2.51419727902822 9.52677707396943 3.47416962411673 0.569585043334125 3.1391663797011 10.2367667381814 3.74327585916258 0.498313317471247 2.68659427989805
25.95 1.17613348867071 0.939155827104236 -11.7905564577146 -4.2808203847165 -0.462749061457963 -2.51442454926547 9.53061549596976 3.47614428198842 0.569960112167437 3.13955890152428 10.2403678519096 3.7452065927224 0.498571223403733 2.68670135994716
26 1.17620209979125 0.939191315608924 -11.7960948968997 -4.28361710615222 -0.463011456618385 -2.51465060750291 9.53443329098149 3.47810837685354 0.57033330735052 3.13994934643835 10.243947343491 3.74712586533004 0.498827617276868 2.68680772522953
26.05 1.17627035407557 0.939226622578601 -11.8016051374457 -4.28639971030111 -0.46327246474207 -2.51487546029468 9.53823056557075 3.48006196274693 0.570704637711643 3.14033772598767 10.2475053361745 3.74903374103036 0.4990825074458 2.68691338098608
26.1 1.1763382533415 0.939261748887342 -11.8070873167722 -4.28916826451705 -0.463532092833802 -2.51509911415569 9.54200742579666 3.48200509345349 0.57107411204371 3.14072405164089 10.2510419525624 3.75093028354923 0.499335902224787 2.68701833240944
26.15 1.17640579939798 0.939296695405851 -11.8125415716938 -4.29192283587695 -0.463790347866691 -2.51532157556199 9.54576397721337 3.48393782250909 0.571441739104318 3.14110833479165 10.254557314613 3.75281555629461 0.499587809887334 2.68712258464456
26.2 1.17647299404513 0.939331463001453 -11.8179680384216 -4.29466349118131 -0.46404723678227 -2.51554285095105 9.54950032487192 3.48586020320133 0.571807527615821 3.14149058675925 10.2580515436436 3.7546896223577 0.49983823866633 2.68722614278929
26.25 1.17653983907426 0.939366052538093 -11.8233668525656 -4.29739029695479 -0.464302766490593 -2.5157629467221 9.55321657332228 3.48777228857042 0.572171486265394 3.14187081878935 10.2615247603335 3.75655254451406 0.50008719675418 2.68732901189495
26.3 1.17660633626788 0.939400464876342 -11.8287381491363 -4.30010331944684 -0.464556943870333 -2.51598186923642 9.55691282661528 3.48967413141006 0.572533623705099 3.14224904205461 10.2649770847266 3.7584043852247 0.500334692302944 2.68743119696691
26.35 1.17667248739983 0.939434700873389 -11.8340820625471 -4.30280262463228 -0.464809775768885 -2.51619962481766 9.56058918830455 3.49156578426819 0.572893948551954 3.14262526765537 10.2684086362342 3.76024520663724 0.50058073342447 2.68753270296513
26.4 1.17673829423523 0.939468761383043 -11.8393987266159 -4.30548827821194 -0.465061269002459 -2.51641621975215 9.56424576144849 3.49344729944796 0.573252469387995 3.14299950662029 10.2718195336379 3.76207507058703 0.50082532819053 2.68763353480474
26.45 1.17680375853056 0.939502647255738 -11.8446882745674 -4.30816034561321 -0.465311430356186 -2.51663166028916 9.56788264861218 3.49531872900847 0.57360919476035 3.143371769907 10.2752098950923 3.76389403859828 0.501068484632964 2.68773369735657
26.5 1.1768688820337 0.939536359338524 -11.8499508390348 -4.31081889199076 -0.465560266584214 -2.51684595264127 9.5714999518694 3.49718012476568 0.573964133181304 3.14374206840273 10.2785798381282 3.7657021718852 0.50131021074381 2.68783319544767
26.55 1.17693366648394 0.939569898475078 -11.855186552062 -4.31346398222709 -0.46580778440981 -2.51705910298456 9.57509777280447 3.49903153829325 0.574317293128374 3.14411041292495 10.2819294796545 3.76749953135312 0.501550514475445 2.68793203386186
26.6 1.17699811361207 0.939603265505697 -11.8603955451056 -4.31609568093319 -0.46605399052546 -2.517271117459 9.57867621251427 3.50087302092339 0.574668683044376 3.14447681422195 10.2852589359621 3.76928617759967 0.501789403740724 2.68803021734024
26.65 1.17706222514037 0.939636461267304 -11.8655779490365 -4.3187140524492 -0.46629889159297 -2.51748200216867 9.58223537161013 3.50270462374769 0.575018311337502 3.14484128297351 10.2885683227256 3.77106217091586 0.502026886413118 2.68812775058169
26.7 1.17712600278267 0.939669486593447 -11.8707338941426 -4.32131916084505 -0.466542494243565 -2.51769176318205 9.58577535021977 3.50452639761802 0.575366186381387 3.14520382979144 10.291857755007 3.77282757128728 0.502262970326853 2.68822463824341
26.75 1.17718944824438 0.939702342314304 -11.87586351013 -4.3239110699211 -0.466784805077993 -2.51790040653232 9.58929624798924 3.50633839314736 0.57571231651519 3.14556446522023 10.2951273472578 3.77458243839522 0.502497663277051 2.68832088494138
26.8 1.17725256322255 0.939735029256679 -11.8809669261256 -4.32648984320881 -0.467025830666626 -2.5181079382176 9.59279816408481 3.50814066071063 0.576056710043664 3.1459231997376 10.2983772133221 3.77632683161782 0.502730973019866 2.68841649525085
26.85 1.17731534940587 0.93976754824401 -11.8860442706788 -4.3290555439714 -0.467265577549558 -2.51831436420126 9.59628119719492 3.5099332504456 0.576399375237233 3.14628004375511 10.3016074664389 3.7780608100312 0.502962907272629 2.68851147370685
26.9 1.17737780847474 0.939799900096371 -11.8910956717635 -4.33160823520454 -0.467504052236712 -2.51851969041215 9.59974544553208 3.5117162122537 0.576740320332072 3.1466350076187 10.3048182192457 3.77978443241064 0.503193473713985 2.68860582480466
26.95 1.1774399421013 0.939832085630472 -11.8961212567802 -4.334147979637 -0.467741261207938 -2.51872392274488 9.60319100683479 3.51348959580091 0.577079553530177 3.14698810160929 10.3080095837802 3.78149775723172 0.503422679984036 2.68869955300023
27 1.17750175194945 0.939864105659662 -11.9011211525577 -4.33667483973133 -0.467977210913116 -2.5189270670601 9.60661797836945 3.51525345051859 0.577417082999451 3.14733933594331 10.3111816714839 3.78320084267146 0.503650533684479 2.68879266271073
27.05 1.17756323967492 0.939895960993937 -11.9060954853557 -4.33918887768457 -0.468211907772259 -2.5191291291847 9.61002645693226 3.51700782560436 0.577752916873778 3.14768872077329 10.3143345932042 3.78489374660949 0.50387704237875 2.6888851583149
27.1 1.17762440692527 0.939927652439935 -11.9110443808659 -4.34169015542893 -0.468445358175615 -2.51933011491214 9.61341653885111 3.51875277002294 0.578087063253105 3.14803626618837 10.3174684591973 3.78657652662919 0.504102213592163 2.6889770441536
27.15 1.17768525533996 0.93995918080095 -11.915967964215 -4.34417873463248 -0.468677568483771 -2.51953003000263 9.61678831998749 3.52048833250704 0.57841953020352 3.14838198221484 10.3205833791311 3.78824924001885 0.504326054812055 2.68906832453017
27.2 1.17774578655037 0.939990546876927 -11.9208663599656 -4.34665467669983 -0.46890854502775 -2.51972888018343 9.62014189573839 3.52221456155817 0.578750325757337 3.1487258788167 10.3236794620878 3.78991194377282 0.504548573487924 2.68915900371091
27.25 1.17780600217983 0.94002175146447 -11.9257396921193 -4.34911804277288 -0.469138294109122 -2.51992667114906 9.62347736103817 3.52393150544755 0.579079457913174 3.14906796589617 10.3267568165663 3.7915646945927 0.504769777031574 2.68924908592551
27.3 1.17786590384368 0.940052795356847 -11.9305880841177 -4.35156889373149 -0.4693668220001 -2.52012340856156 9.62679481036045 3.52563921221693 0.579406934636037 3.14940825329421 10.3298155504851 3.79320754888843 0.504989672817254 2.68933857536742
27.35 1.17792549314929 0.940083679343992 -11.935411658845 -4.35400729019422 -0.469594134943647 -2.52031909805075 9.63009433772002 3.52733772967946 0.579732763857403 3.14974675079102 10.3328557711853 3.79484056277952 0.505208268181804 2.68942747619435
27.4 1.17798477169608 0.94011440421251 -11.9402105386298 -4.35643329251901 -0.469820239153578 -2.52051374521441 9.63337603667467 3.52902710542058 0.580056953475305 3.15008346810657 10.3358775854325 3.79646379209614 0.505425570424795 2.6895157925286
27.45 1.1780437410756 0.940144970745686 -11.9449848452471 -4.35884696080394 -0.470045140814661 -2.52070735561855 9.63664000032711 3.53070738679882 0.580379511354413 3.1504184149011 10.3388810994202 3.79807729238034 0.505641586808674 2.68960352845753
27.5 1.17810240287153 0.940175379723484 -11.9497346999202 -4.36124835488793 -0.470268846082725 -2.52089993479765 9.6398863213268 3.5323786209467 0.580700445326124 3.15075160077559 10.341866418772 3.79968111888717 0.505856324558902 2.68969068803389
27.55 1.17816075865974 0.940205631922554 -11.9544602233227 -4.36363753435147 -0.470491361084757 -2.52109148825489 9.64311509187182 3.5340408547716 0.581019763188642 3.15108303527227 10.3448336485444 3.80127532658584 0.506069790864103 2.68977727527629
27.6 1.17821881000828 0.94023572811624 -11.9591615355806 -4.36601455851736 -0.470712691919012 -2.52128202146231 9.64632640371079 3.53569413495656 0.58133747270707 3.1514127278751 10.3477828932294 3.80285997016088 0.506281992876203 2.68986329416952
27.65 1.17827655847748 0.940265669074584 -11.9638387562741 -4.36837948645144 -0.470932844655111 -2.52147153986114 9.64952034814463 3.53733850796121 0.58165358161349 3.15174068801024 10.3507142567573 3.80443510401332 0.506492937710572 2.68994874866498
27.7 1.17833400561996 0.94029545556433 -11.9684920044397 -4.37073237696333 -0.471151825334148 -2.52166004886194 9.65269701602849 3.53897402002256 0.581968097607057 3.15206692504653 10.3536278424989 3.80600078226181 0.506702632446171 2.690033642681
27.75 1.17839115298062 0.940325088348931 -11.9731213985723 -4.37307328860716 -0.471369639968791 -2.52184755384482 9.65585649777357 3.5406007171559 0.582281028354082 3.15239144829596 10.3565237532685 3.8075570587438 0.506911084125694 2.69011798010329
27.8 1.17844800209676 0.940354568188556 -11.9777270566267 -4.37540227968233 -0.471586294543387 -2.52203406015972 9.65899888334897 3.54221864515567 0.582592381488122 3.1527142670141 10.3594020913263 3.80910398701669 0.507118299755708 2.69020176478522
27.85 1.17850455449805 0.940383895840095 -11.9823090960201 -4.37771940823425 -0.471801795014065 -2.52221957312656 9.66212426228351 3.54382784959624 0.582902164610071 3.15303539040061 10.3622629583811 3.81064162035901 0.5073242863068 2.69028500054825
27.9 1.17856081170657 0.940413072057166 -11.9868676336339 -4.38002473205508 -0.472016147308841 -2.52240409803547 9.66523272366761 3.54542837583286 0.583210385288246 3.15335482759962 10.365106455593 3.81217001177152 0.507529050713718 2.69036769118224
27.95 1.1786167752369 0.94044209759012 -11.9914027858154 -4.38231830868452 -0.472229357327718 -2.522587640147 9.66832435615508 3.54702026900245 0.583517051058475 3.15367258770026 10.3679326835755 3.81368921397842 0.507732599875516 2.69044984044583
28 1.17867244659607 0.940470973186049 -11.9959146683801 -4.38460019541052 -0.472441430942795 -2.52277020469233 9.67139924796495 3.54860357402446 0.583822169424195 3.153988679737 10.3707417423986 3.81519927942847 0.507934940655695 2.69053145206674
28.05 1.17872782728366 0.940499699588793 -12.0004033966136 -4.38687044927007 -0.472652373998366 -2.52295179687348 9.67445748688333 3.55017833560177 0.584125747856534 3.15430311269017 10.3735337315911 3.81670026029618 0.508136079882348 2.69061252974217
28.1 1.17878291879184 0.940528277538944 -12.0048690852734 -4.38912912704992 -0.472862192311023 -2.52313242186347 9.6774991602652 3.55174459822147 0.584427793794409 3.15461589548634 10.3763087501432 3.8181922084829 0.508336024348305 2.69069307713908
28.15 1.17883772260532 0.940556707773857 -12.009311848591 -4.39137628528742 -0.473070891669764 -2.52331208480659 9.6805243550362 3.55330240615579 0.584728314644612 3.15492703699876 10.3790668965092 3.81967517561804 0.50853478081127 2.69077309789458
28.2 1.1788922402015 0.940584991027654 -12.0137318002739 -4.39361198027121 -0.473278477836095 -2.52349079081854 9.6835331576945 3.55485180346286 0.585027317781907 3.15523654604779 10.3818082686097 3.82114921306019 0.508732355993972 2.69085259561619
28.25 1.17894647305041 0.940613128031234 -12.0181290535072 -4.39583626804201 -0.473484956544131 -2.52366854498663 9.68652565431257 3.55639283398767 0.585324810549117 3.15554443140128 10.3845329638343 3.82261437189824 0.508928756584301 2.6909315738822
28.3 1.17900042261479 0.940641119512276 -12.0225037209563 -4.39804920439341 -0.473690333500701 -2.52384535237 9.68950193053896 3.5579255413628 0.585620800257221 3.15585070177503 10.3872410790444 3.82407070295259 0.509123989235456 2.69101003624198
28.35 1.17905409035011 0.940668966195251 -12.0268559147679 -4.40025084487264 -0.473894614385451 -2.52402121799981 9.69246207160016 3.55944996900935 0.585915294185445 3.15615536583314 10.3899327105751 3.82551825677624 0.509318060566086 2.6910879862163
28.4 1.17910747770464 0.940696668801426 -12.0311857465727 -4.4024412447813 -0.474097804850951 -2.52419614687939 9.6954061623023 3.56096616013778 0.586208299581359 3.15645843218844 10.3926079542384 3.82695708365599 0.509510977160434 2.69116542729762
28.45 1.1791605861194 0.940724228048876 -12.0354933274869 -4.4046204591762 -0.474299910522792 -2.52437014398446 9.69833428703304 3.56247415774871 0.586499823660963 3.1567599094029 10.3952669053251 3.82838723361353 0.509702745568477 2.69124236295039
28.5 1.17921341702827 0.940751644652486 -12.0397787681145 -4.40678854287009 -0.474500936999694 -2.52454321426332 9.70124652976327 3.56397400463379 0.58678987360879 3.157059805988 10.3979096586076 3.82980875640661 0.509893372306073 2.69131879661139
28.55 1.17926597185801 0.940778919323963 -12.044042178549 -4.40894555043246 -0.474700889853607 -2.52471536263702 9.70414297404892 3.56546574337657 0.587078456577994 3.1573581304051 10.4005363083426 3.83122170153019 0.510082863855098 2.69139473168998
28.6 1.17931825202827 0.940806052771843 -12.0482836683753 -4.41109153619033 -0.474899774629815 -2.52488659399952 9.70702370303277 3.5669494163533 0.587365579690449 3.15765489106588 10.4031469482729 3.83262611821755 0.510271226663596 2.6914701715684
28.65 1.17937025895162 0.9408330457015 -12.0525033466716 -4.41322655422901 -0.47509759684704 -2.5250569132179 9.70988879944612 3.56842506573377 0.587651250036841 3.15795009633264 10.4057416716305 3.83402205544147 0.510458467145913 2.69154511960208
28.7 1.17942199403362 0.940859898815151 -12.0567013220119 -4.41535065839288 -0.475294361997542 -2.52522632513256 9.71273834561068 3.56989273348219 0.587935474676766 3.15824375451875 10.4083205711388 3.83540956191533 0.510644591682846 2.69161957911989
28.75 1.17947345867281 0.940886612811868 -12.060877702467 -4.41746390228622 -0.475490075547225 -2.52539483455731 9.71557242344021 3.57135246135801 0.588218260638823 3.15853587388896 10.410883739015 3.83678868609426 0.510829606621783 2.69169355342446
